Sr. No.,BarCode,Parent Barcode,HSN/SAC,Item Name,MRP per quantity,Price (Rs),Suggested Profit Per Quantity,Suggested Profit,Paid Cost per quantity,Quantity,Total Value(Incl.of Tax)(Rs),Selling per quantity,Profit Per Quantity,Profit,,Suggested Profit Percent,Profit Percent,,Suggested Profit Total,Auctual Profit,
20,8901786101009,,9109100,Everest Garam Masala 100 g,100,-,5,10,95,2,190,100,5,10,,5.26%,5.26%,,9987.1,3555.169,0
28,8909106011014,,34025000,Active Wheel Lemon & Jasmine Detergent Powder 100 g,10,-,0.74,2.22,9.26,3,27.78,10,0.74,2.22,,7.99%,7.99%,,,,0
25,8902102163671,,34054000,Exo Touch & Shine Anti-Bacterial Round Dishwash Bar 700 g,86,-,6.37,19.11,79.63,3,238.89,86,6.37,19.11,,8.00%,8.00%,,,,0
41,8902102163664,,34054000,Exo Touch & Shine Anti-Bacterial Dishwash Bar 700 g (Pack of 2),172,-,12.76,25.52,159.24,2,318.48,172,12.76,25.52,,8.01%,8.01%,,,,0
16,8901030907449,,34011190,Hamam Neem Tulsi & Aloe Vera Bathing Soap (100g),42,-,3.53,21.18,38.47,6,230.82,42,3.53,21.18,,9.18%,9.18%,,,,0
9,8901396323549,,34013090,Dettol LiquidHand WashSensitive (200ml),99,-,8.49,8.49,90.51,1,90.51,99,8.49,8.49,,9.38%,9.38%,,,,0
30,8901030761195,,34025000,Rin Ala Fabric Whitener 500 ml,89,-,8.7,26.1,80.3,3,240.9,86.39,6.09,18.27,,10.83%,7.58%,,,,7.83
26,8901396165224,,38089400,Harpic Power Plus Toilet Cleaner Marine (500ml),115,-,11.49,34.47,103.51,3,310.53,111.553,8.043,24.129,,11.10%,7.77%,,,,10.341
57,4987176073020,,33051090,Head & Shoulders Cool Menthol Shampoo (180ml),205,-,21.71,65.13,183.29,3,549.87,198.487,15.197,45.591,,11.84%,8.29%,,,,19.539
29,4103040016584,,33051090,Sebamed Anti-Hair Loss Shampoo (200ml),740,-,81.39,162.78,658.61,2,1317.22,715.583,56.973,113.946,,12.36%,8.65%,,,,48.834
49,8901157025071,,38089199,HIT Cockroach Killer Spray 200 ml,105,-,11.55,34.65,93.45,3,280.35,101.535,8.085,24.255,,12.36%,8.65%,,,,10.395
6,8901314786241,,33061020,Colgate Strong Teeth Dental Cream Toothpaste 16 g,120,-,14.09,84.54,105.91,6,635.46,115.773,9.863,59.178,,13.30%,9.31%,,,,25.362
27,8909106022058,,34025000,Comfort Fabric Conditioners Morning Fresh (430ml),120,-,15.14,45.42,104.86,3,314.58,115.458,10.598,31.794,,14.44%,10.11%,,,,13.626
46,8901396146001,,38089400,Lizol Disinfectant Surface Cleaner Citrus (200 ml),48,-,6.11,36.66,41.89,6,251.34,46.167,4.277,25.662,,14.59%,10.21%,,,,10.998
23,8909106017986,,34025000,Vim Lemon Dishwash Liquid 750 ml,199,-,25.68,77.04,173.32,3,519.96,191.296,17.976,53.928,,14.82%,10.37%,,,,23.112
19,8901396153009,,38089400,Harpic Plus Bleach (500ml),115,-,15.31,45.93,99.69,3,299.07,110.407,10.717,32.151,,15.36%,10.75%,,,,13.779
36,8901030764349,,33051090,Dove Hair Therapy Dandruff Care Shampoo (340ml),410,-,56.09,224.36,353.91,4,1415.64,393.173,39.263,157.052,,15.85%,11.09%,,,,67.308
2,8904043901015,,25010010,Tata Iodised Salt 1 kg,30,-,4.35,26.1,25.65,6,153.9,28.695,3.045,18.27,,16.96%,11.87%,,,,7.83
53,8909106018006,,34025000,Vim Lemon Dishwash Liquid Gel 500 ml,125,-,18.74,56.22,106.26,3,318.78,119.378,13.118,39.354,,17.64%,12.35%,,,,16.866
18,8901042954882,,9109100,MTR Bisibele Bhath Masala (100g),80,-,12,24,68,2,136,76.4,8.4,16.8,,17.65%,12.35%,,,,7.2
38,7622202309830,,19019090,Bournvita 200 g,138,-,20.7,62.1,117.3,3,351.9,131.79,14.49,43.47,,17.65%,12.35%,,,,18.63
21,8901396153306,,38089400,Harpic Lemon Disinfectant Bathroom Cleaner 500 ml,115,-,17.26,51.78,97.74,3,293.22,109.822,12.082,36.246,,17.66%,12.36%,,,,15.534
58,8901571004829,,33061020,Sensodyne Rapid Relief Tooth Paste (40g),120,-,18.05,54.15,101.95,3,305.85,114.585,12.635,37.905,,17.70%,12.39%,,,,16.245
55,8902102163961,,34054000,Exo Dish Wash Bar Pouch (90Gx3+1 ),30,-,4.52,27.12,25.48,6,152.88,28.644,3.164,18.984,,17.74%,12.42%,,,,8.136
44,8906005274168,,33049930,Cetaphil Hydrating Lotion 30 g,260,-,43.34,86.68,216.66,2,433.32,240.497,23.837,47.674,,20.00%,11.00%,,,,39.006
54,4987176044365,,34025000,Ariel Detergent Powder 90 g,10,-,1.7,10.2,8.3,6,49.8,10,1.7,10.2,,20.48%,20.48%,,,,0
61,8901030695421,,34025000,Surf Excel Matic Front Load Liquid Detergent 2 L,480,-,86.05,258.15,393.95,3,1181.85,411.16,17.21,51.63,,21.84%,4.37%,,,,206.52
40,69197240,,11031110,Sri Bhagyalakshmi Bansi Sooji 500 g,38,,7,21,31,3,93,34.85,3.85,11.55,,22.58%,12.42%,,,,9.45
60,8901030978456,,33049930,Vaseline Intensive Care Cocoa Glow Body Lotion 90 ml,105,-,19.45,58.35,85.55,3,256.65,96.2475,10.6975,32.0925,,22.74%,12.50%,,,,26.2575
24,8901042968711,,13019013,MTR Asafoetida / Hing Compounded (50g),90,-,17.86,35.72,72.14,2,144.28,81.963,9.823,19.646,,24.76%,13.62%,,,,16.074
42,8904271200737,,34029091,Mr Muscle Kiwi Dranex Drain Cleaner 50 g (Pack of 6),165,-,35.52,71.04,129.48,2,258.96,149.016,19.536,39.072,,27.43%,15.09%,,,,31.968
4,4987176184849,,96190010,Whisper Choice Sanitary Napkin with Wings (XL) 6 pads,42,-,9.07,54.42,32.93,6,197.58,37.9185,4.9885,29.931,,27.54%,15.15%,,,,24.489
15,8902519001177,,48202000,ITCCMPULSENOTEBOOKSINGLELINE302PG210,170,-,40.98,163.92,129.02,4,516.08,151.559,22.539,90.156,,31.76%,17.47%,,,,73.764
7,3499320010993,,33049910,Cetaphil Sun SPF30 Very High Protection Light Gel (100ml),1150,-,287.53,287.53,862.47,1,862.47,1020.6115,158.1415,158.1415,,33.34%,18.34%,,,,129.3885
47,5010394984584,,23091000,Pedigree Dentastix Daily Oral Care Dog Treats for Medium Breed 180 g (7 Sticks),210,-,55.43,332.58,154.57,6,927.42,185.0565,30.4865,182.919,,35.86%,19.72%,,,,149.661
3,8901012165829,,96190010,Stayfree Secure Cottony Dry XL Sanitary Pads 18 pcs,135,-,37.79,37.79,97.21,1,97.21,116.105,18.895,18.895,,38.87%,19.44%,,,,18.895
35,8902689383158,,48181000,Fine Life Tissue Roll 200 Pulls (1pc x 6),560,-,271.6,543.2,288.4,2,576.8,206.92,-81.48,-162.96,,94.17%,-28.25%,,,,706.16
31,8902656702616,,33051090,Revlon Flex Body Building Protein Shampoo Normal To Dry Hair 592 ml Pet,315,-,157.49,157.49,157.51,1,157.51,236.255,78.745,78.745,,99.99%,49.99%,,,,78.745
,,,,,,,,0,,,,,,,,,,,,,0
5,8908017470002,,34013090,Skinstone Sensual Lavender Advance Premium Hand Wash (500ml),225,-,151.99,151.99,73.01,1,73.01,164.204,91.194,91.194,,208.18%,124.91%,,,,60.796
43,8908017470033,,34013090,Skinstone Vanilla Advance Premium Hand Wash (500ml),225,-,151.99,303.98,73.01,2,146.02,164.204,91.194,182.388,,208.18%,124.91%,,,,121.592
,,,,,,,,0,,,,,,0,,,,,,,0
1,4971850090984,,84701000,Casio Calculator Dj120D,795,,80,80,715,1,715,795,80,80,,11.19%,11.19%,,,,0
50,Parent-8901491503051,,20051000,Lays West Indies Hot N Sweet Chilli (20g Pack of 10),100,-,12.99,155.88,87.01,12,1044.12,100,12.99,155.88,,14.93%,14.93%,,,,0
,8901491503051,Parent-8901491503051,20051000,Lays West Indies Hot N Sweet Chilli,10,,,0,10,,,10,0,0,,0.00%,0.00%,,,,0
51,Parent-8901491502030,,20051000,Lay's American Style Cream N Onion Potato Chips (12g Pack of 15),75,-,9.74,116.88,65.26,12,783.12,75,9.74,116.88,,14.92%,14.92%,,,,0
,8901491502030,Parent-8901491502030,20051000,Lay's American Style Cream N Onion Potato Chips,5,,,0,5,,,5,0,0,,0.00%,0.00%,,,,0
52,Parent-8901491502016,,20051000,Lays Classic Salted Potato Chips(12.5g Pack of 15),75,-,9.74,116.88,65.26,12,783.12,75,9.74,116.88,,14.92%,14.92%,,,,0
,8901491502016,Parent-8901491502016,20051000,Lays Classic Salted Potato Chips,5,,,0,5,,,5,0,0,,0.00%,0.00%,,,,0
48,Parent-8901491502054,,20051000,Lay's West Indies Hot N Sweet Chilli (11g Pack of 15),75,-,9.74,116.88,65.26,12,783.12,75,9.74,116.88,,14.92%,14.92%,,,,0
,8901491502054,Parent-8901491502054,20051000,Lay's West Indies Hot N Sweet Chilli,5,,,0,5,,,5,0,0,,0.00%,0.00%,,,,0
45,581038267,,19053100,"Britannia Bourbon Cream Biscuit (50g, Pack of 10)",100,-,11.34,79.38,88.66,7,620.62,100,11.34,79.38,,12.79%,12.79%,,,,0
,8901063139329,581038267,19053100,Britannia Bourbon Cream Biscuit,10,,,0,10,,,10,0,0,,0.00%,0.00%,,,,0
39,8904083302063,,4039090,Milky Mist Strawberry Fruit Yogurt 100 g (Cup),30,-,5.09,15.27,24.91,3,74.73,30,5.09,15.27,,20.43%,20.43%,,,,0
37,8901972058629,,19053219,Dukes Waffy Orange Wafers 60 g,50,-,25,75,25,3,75,50,25,75,,100.00%,100.00%,,,,0
33,Parent-8901491365666,,21061000,Kurkure Puffcorn Yummy Cheese (15g Pack of 15),75,-,9.75,117,65.25,12,783,75,9.75,117,,14.94%,14.94%,,,,0
,8901491365666,Parent-8901491365666,21061000,Kurkure Puffcorn Yummy Cheese ,5,,,0,5,,,5,0,0,,0.00%,0.00%,,,,0
32,8901972058643,,19053219,Dukes Waffy Strawberry Wafers 60 g,50,-,25,50,25,2,50,50,25,50,,100.00%,100.00%,,,,0
34,7622202215995,,18063100,Cadbury Fuse Chocolate bar 45 g,45,-,6.75,27,38.25,4,153,45,6.75,27,,17.65%,17.65%,,,,0
17,581040325,,19053100,Nestle Kitkat 2F Chocolate coaated Wafer (18.5g Pack of 30),600,-,62.6,62.6,537.4,1,537.4,600,62.6,62.6,,11.65%,11.65%,,,,0
,8901058016116,581040325,19053100,Nestle Kitkat 2F Chocolate coaated Wafer,20,,,0,20,,,20,0,0,,0.00%,0.00%,,,,0
12,8901063363922,,19059010,Britannia Strawberry Muffills 35 g (With Egg),10,-,0.7,4.2,9.3,6,55.8,10,0.7,4.2,,7.53%,7.53%,,,,0
13,8901063362741,,19059010,Britannia Fruit Cake 50 g (With Egg),15,-,1.05,6.3,13.95,6,83.7,15,1.05,6.3,,7.53%,7.53%,,,,0
14,8908008674808,,19053219,Nabati Richoco Choco Cream Wafer Biscuits (33g),10,-,1.2,7.2,8.8,6,52.8,10,1.2,7.2,,13.64%,13.64%,,,,0
10,8901719127113,,19059020,Parle Platina Hide & Seek Milano Chocolate Chip Biscuits 150 g,120,-,60,300,60,5,300,120,60,300,,100.00%,100.00%,,,,0
62,8901571010790,,30049011,Eno Lemon Flavour Fruit Salt 5 g (Pack of 6),60,-,10.9,32.7,49.1,3,147.3,60,10.9,32.7,,22.20%,22.20%,,,,0
,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,0
59,581040097,,33051010,Dove Daily Shine Shampoo 5.5 ml (Pack of 48),96,-,23.4,70.2,72.6,3,217.8,96,23.4,70.2,,32.23%,32.23%,,,,0
,8901030996375,581040097,33051010,Dove Daily Shine Shampoo 5.5 ml ,2,,,0,2,,,2,0,0,,0.00%,0.00%,,,,0
11, ammmlost-barcode,,33051010,Meera Herbal Hair Wash Powder Pouch (5g Pack of 50),200,-,27.07,27.07,172.93,1,172.93,200,27.07,27.07,,15.65%,15.65%,,,,0
,8902979023146, ammmlost-barcode,33051010,Meera Herbal Hair Wash Powder Pouch sachet,4,,,0,4,,,4,0,0,,0.00%,0.00%,,,,0
